Designator,Mid X,Mid Y,Rotation,Layer
C1,135.5,-110.5,0.0,top
C2,135.5,-129.0,90.0,top
C3,150.5,-85.0,90.0,top
C4,155.5449,-110.0,0.0,top
C5,163.5,-78.3,90.0,top
C6,163.6,-123.4,90.0,top
C7,121.5,-116.6,270.0,top
C8,121.6,-71.6,270.0,top
D1,125.36589037160189,-62.039065582023596,200.0,top
D10,117.9,-65.0,270.0,bottom
D11,124.95,-57.35,0.0,bottom
D12,160.05,-57.35,0.0,bottom
D13,167.15,-64.95,90.0,bottom
D14,167.1,-74.95,90.0,top
D15,167.15,-120.05,90.0,top
D16,167.05,-130.05,90.0,bottom
D17,160.0,-137.1,180.0,bottom
D18,125.0,-137.1,180.0,bottom
D19,117.9,-130.1,270.0,bottom
D2,159.6933903716019,-62.065634417976405,160.0,top
D20,117.9,-120.0,270.0,top
D25,121.375,-111.0,270.0,top
D26,163.625,-111.0,90.0,top
D27,142.5,-61.375,180.0,top
D28,142.5,-133.625,0.0,top
D3,163.01093441797642,-65.3933903716019,110.0,top
D4,162.9491655820236,-129.6616903716019,70.0,top
D5,159.6066096283981,-132.98433441797638,20.0,top
D6,125.33830962839811,-132.9491655820236,340.0,top
D7,122.06566558202361,-129.6341096283981,290.0,top
D8,122.05083441797639,-65.33830962839811,250.0,top
D9,118.0,-75.0,270.0,top
J1,162.5,-97.66,0.0,top
J2,149.00357438789308,-65.00357438789308,225.0,top
J3,162.65,-84.8,270.0,top
J4,155.94,-104.6,90.0,top
J5,145.25,-83.995,0.0,top
LS1,133.995,-134.0,90.0,top
M1,133.5,-75.0,90.0,bottom
M2,151.5,-75.0,270.0,bottom
M3,133.5,-120.0,90.0,bottom
M4,151.5,-120.0,270.0,bottom
Q1,162.5,-116.5,90.0,top
Q2,136.5,-72.5,0.0,top
R1,128.55,-65.25,0.0,top
R10,125.05,-110.5,0.0,top
R11,164.77,-107.47,0.0,top
R12,147.75,-59.3,270.0,top
R13,147.55,-133.5,0.0,top
R2,156.45,-65.25,180.0,top
R3,155.45,-67.5,180.0,top
R4,155.45,-127.25,180.0,top
R5,155.45,-129.5,180.0,top
R6,129.55,-129.5,0.0,top
R7,129.55,-127.25,0.0,top
R8,129.55,-67.5,0.0,top
R9,141.0,-112.05,270.0,top
U1,131.24,-97.43,90.0,top
U2,153.0,-75.0,180.0,top
U3,153.0,-120.1,0.0,top
U4,133.5,-120.0,0.0,top
U5,142.5,-65.525,180.0,top
U6,142.5,-129.475,0.0,top
U7,156.75,-97.625,0.0,bottom
